GEO,VALUE,Year,Quarter
Newfoundland and Labrador,527643,2019,3
Newfoundland and Labrador,528442,2019,4
Newfoundland and Labrador,528231,2020,1
Newfoundland and Labrador,527733,2020,2
Newfoundland and Labrador,526884,2020,3
Newfoundland and Labrador,526046,2020,4
Newfoundland and Labrador,525895,2021,1
Newfoundland and Labrador,526195,2021,2
Newfoundland and Labrador,527056,2021,3
Newfoundland and Labrador,528302,2021,4
Newfoundland and Labrador,528957,2022,1
Newfoundland and Labrador,529042,2022,2
Newfoundland and Labrador,531308,2022,3
Newfoundland and Labrador,533409,2022,4
Newfoundland and Labrador,535298,2023,1
Newfoundland and Labrador,536686,2023,2
Newfoundland and Labrador,538907,2023,3
Newfoundland and Labrador,541000,2023,4
Newfoundland and Labrador,541820,2024,1
Newfoundland and Labrador,543141,2024,2
Newfoundland and Labrador,545247,2024,3
Northwest Territories,44471,2017,1
Northwest Territories,44626,2017,2
Northwest Territories,44656,2017,3
Northwest Territories,44825,2017,4
Northwest Territories,44730,2018,1
Northwest Territories,44934,2018,2
Northwest Territories,44536,2018,3
Northwest Territories,44487,2018,4
Northwest Territories,44675,2019,1
Northwest Territories,44560,2019,2
Northwest Territories,44442,2019,3
Northwest Territories,44512,2019,4
Northwest Territories,44533,2020,1
Northwest Territories,44565,2020,2
Northwest Territories,44504,2020,3
Northwest Territories,44395,2020,4
Northwest Territories,44432,2021,1
Northwest Territories,44679,2021,2
Northwest Territories,44579,2021,3
Northwest Territories,44593,2021,4
Northwest Territories,44752,2022,1
Northwest Territories,44788,2022,2
Northwest Territories,44634,2022,3
Northwest Territories,44588,2022,4
Northwest Territories,44446,2023,1
Northwest Territories,44468,2023,2
Northwest Territories,44681,2023,3
Northwest Territories,44495,2023,4
Northwest Territories,44499,2024,1
Northwest Territories,44686,2024,2
Northwest Territories,44731,2024,3
Nova Scotia,947023,2017,1
Nova Scotia,948945,2017,2
Nova Scotia,952159,2017,3
Nova Scotia,956074,2017,4
Nova Scotia,956711,2018,1
Nova Scotia,957883,2018,2
Nova Scotia,962072,2018,3
Nova Scotia,967578,2018,4
Nova Scotia,968724,2019,1
Nova Scotia,970680,2019,2
Nova Scotia,975799,2019,3
Nova Scotia,982592,2019,4
Nova Scotia,984130,2020,1
Nova Scotia,986204,2020,2
Nova Scotia,989168,2020,3
Nova Scotia,989154,2020,4
Nova Scotia,990025,2021,1
Nova Scotia,993946,2021,2
Nova Scotia,999908,2021,3
Nova Scotia,1006758,2021,4
Nova Scotia,1010529,2022,1
Nova Scotia,1014733,2022,2
Nova Scotia,1025263,2022,3
Nova Scotia,1035163,2022,4
Nova Scotia,1040187,2023,1
Nova Scotia,1047129,2023,2
Nova Scotia,1056486,2023,3
Nova Scotia,1064297,2023,4
Nova Scotia,1068120,2024,1
Nova Scotia,1071498,2024,2
Nova Scotia,1076374,2024,3
Nunavut,37246,2017,1
Nunavut,37431,2017,2
Nunavut,37656,2017,3
Nunavut,37829,2017,4
Nunavut,37830,2018,1
Nunavut,37976,2018,2
Nunavut,38322,2018,3
Nunavut,38487,2018,4
Nunavut,38574,2019,1
Nunavut,38764,2019,2
Nunavut,38839,2019,3
Nunavut,38893,2019,4
Nunavut,39010,2020,1
Nunavut,39137,2020,2
Nunavut,39479,2020,3
Nunavut,39581,2020,4
Nunavut,39750,2021,1
Nunavut,39879,2021,2
Nunavut,40086,2021,3
Nunavut,40229,2021,4
Nunavut,40271,2022,1
Nunavut,40460,2022,2
Nunavut,40457,2022,3
Nunavut,40491,2022,4
Nunavut,40569,2023,1
Nunavut,40560,2023,2
Nunavut,40700,2023,3
