Year,GEO,Products,Average_Price
2020,Alberta,"Bacon, 500 grams",6.183333333333334
2020,Alberta,"Bananas, per kilogram",1.7325
2020,Alberta,"Block cheese, 500 grams",6.213333333333334
2020,Alberta,"Broccoli, unit",2.9408333333333334
2020,Alberta,"Brown rice, 900 grams ",4.836666666666667
2020,Alberta,"Butter, 454 grams",4.636666666666667
2020,Alberta,"Cabbage, per kilogram",2.4125
2020,Alberta,"Canned beans and lentils, 540 millilitres",1.3108333333333333
2020,Alberta,"Canned soup, 284 millilitres",1.4400000000000002
2020,Alberta,"Cantaloupe, unit",3.223333333333333
2020,Alberta,"Celery, unit",2.720833333333333
2020,Alberta,"Cereal, 400 grams",3.2783333333333338
2020,Alberta,"Chicken breasts, per kilogram",13.870833333333332
2020,Alberta,"Cream, 1 litre",3.9316666666666666
2020,Alberta,"Cucumber, unit",1.9124999999999999
2020,Alberta,"Dry or fresh pasta, 500 grams",2.5591666666666666
2020,Alberta,"Eggs, 1 dozen",3.8275
2020,Alberta,"Flatbread and pita, 500 grams ",3.7725000000000004
2020,Alberta,"Grapes, per kilogram",7.105
2020,Alberta,"Ground beef, per kilogram",10.269166666666667
2020,Alberta,"Iceberg lettuce, unit",2.4658333333333333
2020,Alberta,"Infant formula, 900 grams ",30.12
2020,Alberta,"Ketchup, 1 litre",3.2516666666666665
2020,Alberta,"Lemons, unit",0.8925
2020,Alberta,"Limes, unit",0.6124999999999999
2020,Alberta,"Margarine, 907 grams",4.321666666666666
2020,Alberta,"Mayonnaise, 890 millilitres ",4.406666666666667
2020,Alberta,"Meatless burgers, 226 grams",5.322500000000001
2020,Alberta,"Milk, 4 litres",4.9575000000000005
2020,Alberta,"Onions, per kilogram",4.0525
2020,Alberta,"Orange juice, 2 litres",4.0408333333333335
2020,Alberta,"Oranges, per kilogram",3.9774999999999996
2020,Alberta,"Pasta sauce, 650 millilitres",2.3541666666666665
2020,Alberta,"Peanuts, 450 grams",3.4058333333333333
2020,Alberta,"Pears, per kilogram",4.523333333333333
2020,Alberta,"Peppers, per kilogram",7.53
2020,Alberta,"Pork loin cuts, per kilogram",9.726666666666667
2020,Alberta,"Potatoes, per kilogram",4.0075
2020,Alberta,"Roasted or ground coffee, 340 grams",5.3566666666666665
2020,Alberta,"Salad dressing, 475 millilitres",2.535833333333333
2020,Alberta,"Salmon, per kilogram",22.770833333333332
2020,Alberta,"Salsa, 418 millilitres",3.3800000000000003
2020,Alberta,"Shrimp, 300 grams",7.2475
2020,Alberta,"Squash, per kilogram",3.9925
2020,Alberta,Tea (20 bags),3.67
2020,Alberta,"Tofu, 350 grams ",2.3225
2020,Alberta,"Tomatoes, per kilogram",5.715
2020,Alberta,"Vegetable oil, 3 litres",7.5825
2020,Alberta,"Wheat flour, 2.5 kilograms",4.831666666666666
2020,Alberta,"White bread, 675 grams",2.895
2020,Alberta,"White rice, 2 kilograms",8.486666666666666
